Item_Id,Nome,Preço,Moeda,Categoria,Marca,Quantidade,Link,Detalhes_Imagem,Descrição,Condicao,Estado
MLA2008339342,Amazon Fire Tv Stick 4k 2023 Wifi 6 2gb Color Negro,68479.0,ARS,MLA352001,Amazon,1,https://articulo.mercadolibre.com.ar/MLA-2008339342-amazon-fire-tv-stick-4k-2023-wifi-6-2gb-color-negro-_JM,http://http2.mlstatic.com/D_814985-MLA81098692218_122024-O.jpg,,new,Capital Federal
MLA1397794231,"Fire Tv Stick (3.ª Generación 2021) Con Alexa Voice Remote,",69279.0,ARS,MLA352001,Amazon,1,https://www.mercadolibre.com.ar/fire-tv-stick-3-generacion-2021-con-alexa-voice-remote/p/MLA20544487#wid=MLA1397794231&sid=unknown,http://http2.mlstatic.com/D_644764-MPE48988702985_012022-I.jpg,,new,Córdoba
MLA1974013466,Amazon Fire Tv Stick Hd 2024 Control Por Voz Fhd Streamoing,61999.0,ARS,MLA352001,840414697713,1,https://articulo.mercadolibre.com.ar/MLA-1974013466-amazon-fire-tv-stick-hd-2024-control-por-voz-fhd-streamoing-_JM,http://http2.mlstatic.com/D_847613-MLA81303408521_122024-O.jpg,,new,Capital Federal
MLA1974888490,Amazon Fire Tv Stick Hd 2024 Control Por Voz Fhd Streaming,66599.0,ARS,MLA352001,840414697713,1,https://articulo.mercadolibre.com.ar/MLA-1974888490-amazon-fire-tv-stick-hd-2024-control-por-voz-fhd-streaming-_JM,http://http2.mlstatic.com/D_724126-MLA81063713164_122024-O.jpg,,new,Capital Federal
MLA2013301406,Amazon Lite Fire Tv Stick B091g4yp57 De Voz Full Hd 8gb,62657.0,ARS,MLA352001,B091G4YP57,1,https://articulo.mercadolibre.com.ar/MLA-2013301406-amazon-lite-fire-tv-stick-b091g4yp57-de-voz-full-hd-8gb-_JM,http://http2.mlstatic.com/D_848963-MLU74112953338_012024-O.jpg,,new,Capital Federal
MLA2005704458,Amazon Fire Tv Stick 4k 2023 Wifi 6 2gb De Ram Sicoaf,68499.0,ARS,MLA352001,Amazon,50,https://articulo.mercadolibre.com.ar/MLA-2005704458-amazon-fire-tv-stick-4k-2023-wifi-6-2gb-de-ram-sicoaf-_JM,http://http2.mlstatic.com/D_814985-MLA81098692218_122024-O.jpg,,new,Capital Federal
MLA1916062622,Amazon Tv Stick Lite 3ra Gen Streaming Full Hd,77427.0,ARS,MLA352001,,500,https://articulo.mercadolibre.com.ar/MLA-1916062622-amazon-tv-stick-lite-3ra-gen-streaming-full-hd-_JM,http://http2.mlstatic.com/D_779300-MLA79509527609_092024-O.jpg,,new,Buenos Aires
MLA1465489187,Amazon Fire Tv Stick 4k Fire Tv Stick 4k 53-008355 Pilas 4k Negro,89000.0,ARS,MLA352001,B0CJM1GNFQ / B0BP9MDCQZ,1,https://www.mercadolibre.com.ar/amazon-fire-tv-stick-4k-fire-tv-stick-4k-53-008355-pilas-4k-negro/p/MLA42248736#wid=MLA1465489187&sid=unknown,http://http2.mlstatic.com/D_871207-MLA79930175736_102024-I.jpg,,new,Córdoba
MLA1451230839,Amazon Fire Tv Stick 4k Ultra Hd Max 16gb Wi-fi 6e Negro,147890.0,ARS,MLA352001,Amazon,1,https://articulo.mercadolibre.com.ar/MLA-1451230839-amazon-fire-tv-stick-4k-ultra-hd-max-16gb-wi-fi-6e-negro-_JM,http://http2.mlstatic.com/D_986760-MLA79588730653_092024-O.jpg,,new,Capital Federal
MLA1403896247,Amazon Fire Tv Stick Lite Con Control Remoto Outlet,50500.0,ARS,MLA352001,Fire Tv Stick Amazon,1,https://articulo.mercadolibre.com.ar/MLA-1403896247-amazon-fire-tv-stick-lite-con-control-remoto-outlet-_JM,http://http2.mlstatic.com/D_600672-MLA74072279900_012024-O.jpg,,new,Capital Federal
MLA1447682463,Amazon Fire Tv Stick 4k Control Por Voz 3ra Generación Alexa,79999.0,ARS,MLA352001,Fire Tv Stick Amazon,1,https://articulo.mercadolibre.com.ar/MLA-1447682463-amazon-fire-tv-stick-4k-control-por-voz-3ra-generacion-alexa-_JM,http://http2.mlstatic.com/D_784422-MLU73365004986_122023-O.jpg,,new,Capital Federal
